id;numero;ano;orgao;state;status;deadline;score;level;place;why;blockers;opps;url;first_seen;last_seen
6937;775/2026;2026;Ministério do Turismo;aberto;Encerra em: 0 dias;21/08/2026;-5;chefia baixa;;chefia baixa(-3), órgão-alvo(+2), nível médio/intermediário(-4);nível médio/intermediário;SELEÇÃO AGENTE FISCAL DE TURISMO - FCE 3.04;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6937;21/08/2026;21/08/2026
6936;774/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;encerrado;Inscrições Encerradas;;-7;;;gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;GSISP de nível intermediário na área de Gestão e Planejamento de TI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6936;21/08/2026;21/08/2026
6934;773/2026;2026;Ministério da Defesa;aberto;Encerra em: 7 dias;28/08/2026;-3;;;gratificação técnica(-3);;GSISP  Nível Superior   - Gestão e Planejamento de TI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6934;21/08/2026;21/08/2026
6933;776/2026;2026;Presidência da República;aberto;Encerra em: 2 dias;23/08/2026;2;;;órgão-alvo(+2);;Assessoria Técnica ao Conselho Nacional de Fomento e Colaboração (CONFOCO);https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6933;21/08/2026;21/08/2026
6932;810/2026;2026;Ministério do Esporte;aberto;Encerra em: 9 dias;30/08/2026;0;;;;;Composição de força de trabalho na Corregedoria do Ministério do Esporte;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6932;21/08/2026;21/08/2026
6931;771/2026;2026;Conselho Administrativo de Defesa Econômica;aberto;Encerra em: 2 dias;23/08/2026;2;;;órgão-alvo(+2);;Auditoria Interna - AUDIT;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6931;21/08/2026;21/08/2026
6929;769/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;encerrado;Inscrições Encerradas;;1;coordenador (1.10);;coordenador (1.10)(+1);;FCE 1.10 de Coordenador na Coordenação-Geral de Fomento e Economia do Patrimônio - DAFE;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6929;21/08/2026;21/08/2026
6928;772/2026;2026;Ministério da Fazenda;encerrado;Inscrições Encerradas;;7;coordenador-geral;;coordenador-geral(+5), órgão-alvo(+2);;Coordenador(a) de Sistemas, código FCE 1.10 (R$ 4.455,87) | Coordenador(a) de Jogo Responsável, código FCE 1.10 (R$ 4.455,87) | Coordenador(a)-Geral de Fiscalização de Promoções Comerciais, código FCE 1.13 (R$ 8.651,81);https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6928;21/08/2026;21/08/2026
6927;770/2026;2026;Conselho Administrativo de Defesa Econômica;aberto;Encerra em: 4 dias;25/08/2026;2;;;órgão-alvo(+2);;Assessoria de Comunicação Social - ASCOM;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6927;21/08/2026;21/08/2026
6923;786/2026;2026;Agência Nacional de Vigilância Sanitária;a abrir;Início das incrições: 24/08/2026;24/08/2026;0;;;;;Assistente da Assessoria Parlamentar - ASPAR;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6923;21/08/2026;21/08/2026
6922;766/2026;2026;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;encerrado;Inscrições Encerradas;;-4;;Brasília;Brasília(+1), órgão-alvo(+2), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;Processo seletivo para concessão de GSISP, NI, na área de Gestão e Planejamento de TI, na STI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6922;21/08/2026;21/08/2026
6918;765/2026;2026;Conselho Nacional de Desenvolvimento Científico e Tecnológico;aberto;Encerra em: 2 dias;23/08/2026;0;;;;;Serviço de Apoio aos Órgãos Colegiados Vinculados - SEAOC;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6918;21/08/2026;21/08/2026
6915;768/2026;2026;Advocacia-Geral da União;aberto;Encerra em: 14 dias;04/09/2026;0;;;;;Desenvolvedor Full Stack - Ênfase em Python da Coordenação de Pesquisa de Ativos e Pessoas - COPAP;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6915;21/08/2026;21/08/2026
6912;767/2026;2026;Conselho Administrativo de Defesa Econômica;aberto;Encerra em: 7 dias;28/08/2026;2;;;órgão-alvo(+2);;Cargo de Arquivista - Serviço de Informação e Documentação (SIDOC);https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6912;21/08/2026;21/08/2026
6911;760/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;aberto;Encerra em: 14 dias;04/09/2026;-2;chefia baixa;Brasília;chefia baixa(-3), Brasília(+1);;FCE 1.05 na Coordenação de Recursos Logísticos/CGLOG/DPA;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6911;21/08/2026;21/08/2026
6910;761/2026;2026;Ministério do Desenvolvimento Agrário e Agricultura Familiar;encerrado;Inscrições Encerradas;;2;;;órgão-alvo(+2);;01 (uma) vaga CGOFC/MDA;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6910;21/08/2026;21/08/2026
6909;759/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;aberto;Encerra em: 14 dias;04/09/2026;-2;chefia baixa;Brasília;chefia baixa(-3), Brasília(+1);;FCE 2.01 na Coordenação-Geral do Sistema Nacional de Patrimônio Cultural/DAFE;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6909;21/08/2026;21/08/2026
6908;758/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;aberto;Encerra em: 14 dias;04/09/2026;-6;;Brasília;Brasília(+1), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;GSISTE de nível intermediário na Coordenação de Recursos Logísticos/CGLOG/DPA;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6908;21/08/2026;21/08/2026
6907;757/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;aberto;Encerra em: 14 dias;04/09/2026;-2;chefia baixa;Brasília;chefia baixa(-3), Brasília(+1);;FCE 1.05 na Coordenação de Planejamento e Projetos - CPLAN/CGPLAN/DPA;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6907;21/08/2026;21/08/2026
6906;754/2026;2026;Controladoria-Geral da União;aberto;Encerra em: 0 dias;21/08/2026;-1;;;órgão-alvo(+2), gratificação técnica(-3);;Chamada Pública para atuar na SIP/CGU - Assuntos Internacionais;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6906;21/08/2026;21/08/2026
6905;755.1/2026;2026;Controladoria-Geral da União;aberto;Encerra em: 14 dias;04/09/2026;0;;Brasília;Brasília(+1), órgão-alvo(+2), gratificação técnica(-3);;Chamada Pública para atuar na SIP/CGU - Área Administrativa;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6905;21/08/2026;21/08/2026
6904;753.1/2026;2026;Controladoria-Geral da União;aberto;Encerra em: 14 dias;04/09/2026;0;;Brasília;Brasília(+1), órgão-alvo(+2), gratificação técnica(-3);;Chamada Pública para atuar na SIP/CGU - Apoio técnico, administrativo, operacional e pedagógico;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6904;21/08/2026;21/08/2026
6901;751.1/2026;2026;Ministério do Meio Ambiente e Mudança do Clima;encerrado;Inscrições Encerradas;;-1;chefia baixa;;chefia baixa(-3), órgão-alvo(+2);;FCE 3.05, Chefe de Projeto I;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6901;21/08/2026;21/08/2026
6900;763/2026;2026;Ministério da Gestão e da Inovação em Serviços Públicos;aberto;Encerra em: 10 dias;31/08/2026;-5;;;órgão-alvo(+2), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;GSISTE NI | GSISTE NS;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6900;21/08/2026;21/08/2026
6899;756.2/2026;2026;Ministério da Gestão e da Inovação em Serviços Públicos;encerrado;Inscrições Encerradas;;-5;;;órgão-alvo(+2), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;Cargo 4: Privacidade e Segurança da Informação | Cargo 6: Gestão e Planejamento de Tecnologia da Informação | Cargo 2 - Compartilhamento de Recursos Tecnológicos | Cargo 3: Gestão e Planejamento de Tecnologia da Informação | Cargo 5: Gestão de Dados e Informações | Cargo 1 - Gerenciamento de projetos;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6899;21/08/2026;21/08/2026
6898;750/2026;2026;Ministério do Meio Ambiente e Mudança do Clima;encerrado;Inscrições Encerradas;;-5;;;órgão-alvo(+2), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;GSISP de Nível Intermediário (NI);https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6898;21/08/2026;21/08/2026
6897;746/2026;2026;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;encerrado;Inscrições Encerradas;;0;chefia baixa;Brasília;chefia baixa(-3), Brasília(+1), órgão-alvo(+2);;Processo seletivo para concessão de FCE 3.07 (Chefe de Projeto II), na SINAPSE;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6897;21/08/2026;21/08/2026
6896;745.2/2026;2026;Agência Espacial Brasileira;encerrado;Inscrições Encerradas;;-1;;;espacial(+2), gratificação técnica(-3);;GSISP de Nível Superior (NS), para área de Contratações de TI da Agência Espacial Brasileira;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6896;21/08/2026;21/08/2026
6895;744/2026;2026;Controladoria-Geral da União;aberto;Encerra em: 0 dias;21/08/2026;-4;;Brasília;Brasília(+1), órgão-alvo(+2), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;Chamada Pública para atuar na Coordenação de Gestão Documental - CGDOC/CGLCD/DGC/SE/CGU;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6895;21/08/2026;21/08/2026
6893;740/2026;2026;Ministério do Trabalho e Emprego;encerrado;Inscrições Encerradas;;-1;chefia baixa;;chefia baixa(-3), órgão-alvo(+2);;CHEFE DA DIVISÃO DE QUALIDADE DE VIDA E SAÚDE DO SERVIDOR - DQVS;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6893;21/08/2026;21/08/2026
6892;739/2026;2026;Fundação Escola Nacional de Administração Pública;encerrado;Inscrições Encerradas;;-5;;;órgão-alvo(+2), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;GAEG DE NÍVEL INTERMEDIÁRIO - CGLOG;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6892;21/08/2026;21/08/2026
6891;747/2026;2026;Advocacia-Geral da União;encerrado;Inscrições Encerradas;;0;;;;;Apoio Administrativo nas unidades da Procuradoria Regional da União da 1ª Região;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6891;21/08/2026;21/08/2026
6890;748/2026;2026;Agência Nacional de Mineração;aberto;Encerra em: 0 dias;21/08/2026;-8;chefia baixa;Na cidade de Maceió/AL;chefia baixa(-3), Na cidade de Maceió/AL(-5);;Chefe do Serviço de Apoio Logístico nos Estados de Sergipe e Alagoas - SERLOG/SEAL.;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6890;21/08/2026;21/08/2026
